C:\Users\user\Desktop\COVID>python train.py --batch-size 16 --epochs 30 
Train : 0 [0/1000 (0%)] Loss: 15.641183
Train : 0 [160/1000 (16%)]      Loss: 7.109161
Train : 0 [320/1000 (32%)]      Loss: 2.311352
Train : 0 [480/1000 (48%)]      Loss: 1.512047
Train : 0 [640/1000 (63%)]      Loss: 0.781266
Train : 0 [800/1000 (79%)]      Loss: 0.449788
Train : 0 [960/1000 (95%)]      Loss: 0.610902
Train : 1 [0/1000 (0%)] Loss: 0.263270
Train : 1 [160/1000 (16%)]      Loss: 0.421227
Train : 1 [320/1000 (32%)]      Loss: 0.338716
Train : 1 [480/1000 (48%)]      Loss: 0.448779
Train : 1 [640/1000 (63%)]      Loss: 0.262765
Train : 1 [800/1000 (79%)]      Loss: 0.553857
Train : 1 [960/1000 (95%)]      Loss: 0.330655
Train : 2 [0/1000 (0%)] Loss: 0.378941
Train : 2 [160/1000 (16%)]      Loss: 0.154913
Train : 2 [320/1000 (32%)]      Loss: 0.301687
Train : 2 [480/1000 (48%)]      Loss: 0.073903
Train : 2 [640/1000 (63%)]      Loss: 0.200284
Train : 2 [800/1000 (79%)]      Loss: 0.727136
Train : 2 [960/1000 (95%)]      Loss: 0.113699
Train : 3 [0/1000 (0%)] Loss: 0.083615
Train : 3 [160/1000 (16%)]      Loss: 0.352199
Train : 3 [320/1000 (32%)]      Loss: 0.084629
Train : 3 [480/1000 (48%)]      Loss: 0.203277
Train : 3 [640/1000 (63%)]      Loss: 0.158871
Train : 3 [800/1000 (79%)]      Loss: 0.109411
Train : 3 [960/1000 (95%)]      Loss: 0.068281
Train : 4 [0/1000 (0%)] Loss: 0.183060
Train : 4 [160/1000 (16%)]      Loss: 0.284895
Train : 4 [320/1000 (32%)]      Loss: 0.102883
Train : 4 [480/1000 (48%)]      Loss: 0.123089
Train : 4 [640/1000 (63%)]      Loss: 0.081617
Train : 4 [800/1000 (79%)]      Loss: 0.083131
Train : 4 [960/1000 (95%)]      Loss: 0.579891
Train : 5 [0/1000 (0%)] Loss: 0.254177
Train : 5 [160/1000 (16%)]      Loss: 0.160987
Train : 5 [320/1000 (32%)]      Loss: 0.069085
Train : 5 [480/1000 (48%)]      Loss: 0.018384
Train : 5 [640/1000 (63%)]      Loss: 0.030680
Train : 5 [800/1000 (79%)]      Loss: 0.070386
Train : 5 [960/1000 (95%)]      Loss: 0.017787
Train : 6 [0/1000 (0%)] Loss: 0.156981
Train : 6 [160/1000 (16%)]      Loss: 0.124463
Train : 6 [320/1000 (32%)]      Loss: 0.222996
Train : 6 [480/1000 (48%)]      Loss: 0.099895
Train : 6 [640/1000 (63%)]      Loss: 0.042074
Train : 6 [800/1000 (79%)]      Loss: 0.018609
Train : 6 [960/1000 (95%)]      Loss: 0.016562
Train : 7 [0/1000 (0%)] Loss: 0.130007
Train : 7 [160/1000 (16%)]      Loss: 0.141376
Train : 7 [320/1000 (32%)]      Loss: 0.013395
Train : 7 [480/1000 (48%)]      Loss: 0.058965
Train : 7 [640/1000 (63%)]      Loss: 0.192897
Train : 7 [800/1000 (79%)]      Loss: 0.005928
Train : 7 [960/1000 (95%)]      Loss: 0.022417
Train : 8 [0/1000 (0%)] Loss: 0.011499
Train : 8 [160/1000 (16%)]      Loss: 0.007368
Train : 8 [320/1000 (32%)]      Loss: 0.063659
Train : 8 [480/1000 (48%)]      Loss: 0.031196
Train : 8 [640/1000 (63%)]      Loss: 0.201527
Train : 8 [800/1000 (79%)]      Loss: 0.016363
Train : 8 [960/1000 (95%)]      Loss: 0.038024
Train : 9 [0/1000 (0%)] Loss: 0.000299
Train : 9 [160/1000 (16%)]      Loss: 0.081040
Train : 9 [320/1000 (32%)]      Loss: 0.001573
Train : 9 [480/1000 (48%)]      Loss: 0.017216
Train : 9 [640/1000 (63%)]      Loss: 0.004589
Train : 9 [800/1000 (79%)]      Loss: 0.019565
Train : 9 [960/1000 (95%)]      Loss: 0.012459
Train : 10 [0/1000 (0%)]        Loss: 0.002727
Train : 10 [160/1000 (16%)]     Loss: 0.051912
Train : 10 [320/1000 (32%)]     Loss: 0.000457
Train : 10 [480/1000 (48%)]     Loss: 0.004145
Train : 10 [640/1000 (63%)]     Loss: 0.001754
Train : 10 [800/1000 (79%)]     Loss: 0.010520
Train : 10 [960/1000 (95%)]     Loss: 0.001689
Train : 11 [0/1000 (0%)]        Loss: 0.002629
Train : 11 [160/1000 (16%)]     Loss: 0.001055
Train : 11 [320/1000 (32%)]     Loss: 0.002925
Train : 11 [480/1000 (48%)]     Loss: 0.002160
Train : 11 [640/1000 (63%)]     Loss: 0.004885
Train : 11 [800/1000 (79%)]     Loss: 0.007863
Train : 11 [960/1000 (95%)]     Loss: 0.008782
Train : 12 [0/1000 (0%)]        Loss: 0.000044
Train : 12 [160/1000 (16%)]     Loss: 0.001773
Train : 12 [320/1000 (32%)]     Loss: 0.011878
Train : 12 [480/1000 (48%)]     Loss: 0.001079
Train : 12 [640/1000 (63%)]     Loss: 0.003045
Train : 12 [800/1000 (79%)]     Loss: 0.002493
Train : 12 [960/1000 (95%)]     Loss: 0.001098
Train : 13 [0/1000 (0%)]        Loss: 0.003347
Train : 13 [160/1000 (16%)]     Loss: 0.001305
Train : 13 [320/1000 (32%)]     Loss: 0.000502
Train : 13 [480/1000 (48%)]     Loss: 0.000573
Train : 13 [640/1000 (63%)]     Loss: 0.001847
Train : 13 [800/1000 (79%)]     Loss: 0.000187
Train : 13 [960/1000 (95%)]     Loss: 0.001450
Train : 14 [0/1000 (0%)]        Loss: 0.002721
Train : 14 [160/1000 (16%)]     Loss: 0.000148
Train : 14 [320/1000 (32%)]     Loss: 0.001340
Train : 14 [480/1000 (48%)]     Loss: 0.000982
Train : 14 [640/1000 (63%)]     Loss: 0.001695
Train : 14 [800/1000 (79%)]     Loss: 0.000118
Train : 14 [960/1000 (95%)]     Loss: 0.000453
Train : 15 [0/1000 (0%)]        Loss: 0.000705
Train : 15 [160/1000 (16%)]     Loss: 0.000154
Train : 15 [320/1000 (32%)]     Loss: 0.000541
Train : 15 [480/1000 (48%)]     Loss: 0.000796
Train : 15 [640/1000 (63%)]     Loss: 0.042307
Train : 15 [800/1000 (79%)]     Loss: 0.000794
Train : 15 [960/1000 (95%)]     Loss: 0.000154
Train : 16 [0/1000 (0%)]        Loss: 0.000996
Train : 16 [160/1000 (16%)]     Loss: 0.002136
Train : 16 [320/1000 (32%)]     Loss: 0.001208
Train : 16 [480/1000 (48%)]     Loss: 0.000913
Train : 16 [640/1000 (63%)]     Loss: 0.000039
Train : 16 [800/1000 (79%)]     Loss: 0.002669
Train : 16 [960/1000 (95%)]     Loss: 0.002431
Train : 17 [0/1000 (0%)]        Loss: 0.000102
Train : 17 [160/1000 (16%)]     Loss: 0.000048
Train : 17 [320/1000 (32%)]     Loss: 0.006218
Train : 17 [480/1000 (48%)]     Loss: 0.000495
Train : 17 [640/1000 (63%)]     Loss: 0.000370
Train : 17 [800/1000 (79%)]     Loss: 0.001165
Train : 17 [960/1000 (95%)]     Loss: 0.000090
Train : 18 [0/1000 (0%)]        Loss: 0.000205
Train : 18 [160/1000 (16%)]     Loss: 0.001411
Train : 18 [320/1000 (32%)]     Loss: 0.000399
Train : 18 [480/1000 (48%)]     Loss: 0.000244
Train : 18 [640/1000 (63%)]     Loss: 0.000022
Train : 18 [800/1000 (79%)]     Loss: 0.000076
Train : 18 [960/1000 (95%)]     Loss: 0.000967
Train : 19 [0/1000 (0%)]        Loss: 0.000681
Train : 19 [160/1000 (16%)]     Loss: 0.000130
Train : 19 [320/1000 (32%)]     Loss: 0.003365
Train : 19 [480/1000 (48%)]     Loss: 0.000413
Train : 19 [640/1000 (63%)]     Loss: 0.000077
Train : 19 [800/1000 (79%)]     Loss: 0.000069
Train : 19 [960/1000 (95%)]     Loss: 0.186032
Train : 20 [0/1000 (0%)]        Loss: 0.001224
Train : 20 [160/1000 (16%)]     Loss: 0.003827
Train : 20 [320/1000 (32%)]     Loss: 0.002167
Train : 20 [480/1000 (48%)]     Loss: 0.157494
Train : 20 [640/1000 (63%)]     Loss: 0.049931
Train : 20 [800/1000 (79%)]     Loss: 0.002543
Train : 20 [960/1000 (95%)]     Loss: 0.016119
Train : 21 [0/1000 (0%)]        Loss: 0.030447
Train : 21 [160/1000 (16%)]     Loss: 0.001358
Train : 21 [320/1000 (32%)]     Loss: 0.037482
Train : 21 [480/1000 (48%)]     Loss: 0.205407
Train : 21 [640/1000 (63%)]     Loss: 0.005568
Train : 21 [800/1000 (79%)]     Loss: 0.001495
Train : 21 [960/1000 (95%)]     Loss: 0.002911
Train : 22 [0/1000 (0%)]        Loss: 0.002814
Train : 22 [160/1000 (16%)]     Loss: 0.052580
Train : 22 [320/1000 (32%)]     Loss: 0.009288
Train : 22 [480/1000 (48%)]     Loss: 0.000087
Train : 22 [640/1000 (63%)]     Loss: 0.000592
Train : 22 [800/1000 (79%)]     Loss: 0.485413
Train : 22 [960/1000 (95%)]     Loss: 0.003496
Train : 23 [0/1000 (0%)]        Loss: 0.042306
Train : 23 [160/1000 (16%)]     Loss: 0.002375
Train : 23 [320/1000 (32%)]     Loss: 0.006342
Train : 23 [480/1000 (48%)]     Loss: 0.088487
Train : 23 [640/1000 (63%)]     Loss: 0.042288
Train : 23 [800/1000 (79%)]     Loss: 0.016053
Train : 23 [960/1000 (95%)]     Loss: 0.001032
Train : 24 [0/1000 (0%)]        Loss: 0.091147
Train : 24 [160/1000 (16%)]     Loss: 0.004956
Train : 24 [320/1000 (32%)]     Loss: 0.001161
Train : 24 [480/1000 (48%)]     Loss: 0.000783
Train : 24 [640/1000 (63%)]     Loss: 0.000603
Train : 24 [800/1000 (79%)]     Loss: 0.000109
Train : 24 [960/1000 (95%)]     Loss: 0.000501
Train : 25 [0/1000 (0%)]        Loss: 0.000246
Train : 25 [160/1000 (16%)]     Loss: 0.000140
Train : 25 [320/1000 (32%)]     Loss: 0.008159
Train : 25 [480/1000 (48%)]     Loss: 0.001204
Train : 25 [640/1000 (63%)]     Loss: 0.000374
Train : 25 [800/1000 (79%)]     Loss: 0.000018
Train : 25 [960/1000 (95%)]     Loss: 0.000267
Train : 26 [0/1000 (0%)]        Loss: 0.000030
Train : 26 [160/1000 (16%)]     Loss: 0.000375
Train : 26 [320/1000 (32%)]     Loss: 0.000631
Train : 26 [480/1000 (48%)]     Loss: 0.000053
Train : 26 [640/1000 (63%)]     Loss: 0.000006
Train : 26 [800/1000 (79%)]     Loss: 0.000088
Train : 26 [960/1000 (95%)]     Loss: 0.000117
Train : 27 [0/1000 (0%)]        Loss: 0.010726
Train : 27 [160/1000 (16%)]     Loss: 0.000188
Train : 27 [320/1000 (32%)]     Loss: 0.003750
Train : 27 [480/1000 (48%)]     Loss: 0.000112
Train : 27 [640/1000 (63%)]     Loss: 0.000007
Train : 27 [800/1000 (79%)]     Loss: 0.000046
Train : 27 [960/1000 (95%)]     Loss: 0.000009
Train : 28 [0/1000 (0%)]        Loss: 0.000021
Train : 28 [160/1000 (16%)]     Loss: 0.000101
Train : 28 [320/1000 (32%)]     Loss: 0.000054
Train : 28 [480/1000 (48%)]     Loss: 0.000094
Train : 28 [640/1000 (63%)]     Loss: 0.000297
Train : 28 [800/1000 (79%)]     Loss: 0.000030
Train : 28 [960/1000 (95%)]     Loss: 0.000048
Train : 29 [0/1000 (0%)]        Loss: 0.000066
Train : 29 [160/1000 (16%)]     Loss: 0.000032
Train : 29 [320/1000 (32%)]     Loss: 0.000017
Train : 29 [480/1000 (48%)]     Loss: 0.000032
Train : 29 [640/1000 (63%)]     Loss: 0.000229
Train : 29 [800/1000 (79%)]     Loss: 0.004320
Train : 29 [960/1000 (95%)]     Loss: 0.000021
